sample,fastq_1,fastq_2,strandedness
SRR22258859,fastq/SRR22258859_1.fastq.gz,fastq/SRR22258859_2.fastq.gz,auto
SRR22258860,fastq/SRR22258860_1.fastq.gz,fastq/SRR22258860_2.fastq.gz,auto
SRR22258861,fastq/SRR22258861_1.fastq.gz,fastq/SRR22258861_2.fastq.gz,auto
SRR22258862,fastq/SRR22258862_1.fastq.gz,fastq/SRR22258862_2.fastq.gz,auto
SRR22258863,fastq/SRR22258863_1.fastq.gz,fastq/SRR22258863_2.fastq.gz,auto
SRR22258864,fastq/SRR22258864_1.fastq.gz,fastq/SRR22258864_2.fastq.gz,auto
SRR22258865,fastq/SRR22258865_1.fastq.gz,fastq/SRR22258865_2.fastq.gz,auto
SRR22258866,fastq/SRR22258866_1.fastq.gz,fastq/SRR22258866_2.fastq.gz,auto
SRR22258867,fastq/SRR22258867_1.fastq.gz,fastq/SRR22258867_2.fastq.gz,auto
SRR22258868,fastq/SRR22258868_1.fastq.gz,fastq/SRR22258868_2.fastq.gz,auto
SRR22258869,fastq/SRR22258869_1.fastq.gz,fastq/SRR22258869_2.fastq.gz,auto
SRR22258870,fastq/SRR22258870_1.fastq.gz,fastq/SRR22258870_2.fastq.gz,auto
SRR22258871,fastq/SRR22258871_1.fastq.gz,fastq/SRR22258871_2.fastq.gz,auto
SRR22258872,fastq/SRR22258872_1.fastq.gz,fastq/SRR22258872_2.fastq.gz,auto
SRR22258873,fastq/SRR22258873_1.fastq.gz,fastq/SRR22258873_2.fastq.gz,auto
SRR22258874,fastq/SRR22258874_1.fastq.gz,fastq/SRR22258874_2.fastq.gz,auto
SRR22258875,fastq/SRR22258875_1.fastq.gz,fastq/SRR22258875_2.fastq.gz,auto
SRR22258876,fastq/SRR22258876_1.fastq.gz,fastq/SRR22258876_2.fastq.gz,auto
SRR22258877,fastq/SRR22258877_1.fastq.gz,fastq/SRR22258877_2.fastq.gz,auto
SRR22258878,fastq/SRR22258878_1.fastq.gz,fastq/SRR22258878_2.fastq.gz,auto
SRR22258879,fastq/SRR22258879_1.fastq.gz,fastq/SRR22258879_2.fastq.gz,auto
SRR22258880,fastq/SRR22258880_1.fastq.gz,fastq/SRR22258880_2.fastq.gz,auto
SRR22258881,fastq/SRR22258881_1.fastq.gz,fastq/SRR22258881_2.fastq.gz,auto
SRR22258882,fastq/SRR22258882_1.fastq.gz,fastq/SRR22258882_2.fastq.gz,auto
SRR22258883,fastq/SRR22258883_1.fastq.gz,fastq/SRR22258883_2.fastq.gz,auto
SRR22258884,fastq/SRR22258884_1.fastq.gz,fastq/SRR22258884_2.fastq.gz,auto
SRR22258885,fastq/SRR22258885_1.fastq.gz,fastq/SRR22258885_2.fastq.gz,auto
SRR22258886,fastq/SRR22258886_1.fastq.gz,fastq/SRR22258886_2.fastq.gz,auto
SRR22258887,fastq/SRR22258887_1.fastq.gz,fastq/SRR22258887_2.fastq.gz,auto
SRR22258888,fastq/SRR22258888_1.fastq.gz,fastq/SRR22258888_2.fastq.gz,auto
SRR22258889,fastq/SRR22258889_1.fastq.gz,fastq/SRR22258889_2.fastq.gz,auto
SRR22258890,fastq/SRR22258890_1.fastq.gz,fastq/SRR22258890_2.fastq.gz,auto
SRR22258891,fastq/SRR22258891_1.fastq.gz,fastq/SRR22258891_2.fastq.gz,auto
SRR22258892,fastq/SRR22258892_1.fastq.gz,fastq/SRR22258892_2.fastq.gz,auto
SRR22258893,fastq/SRR22258893_1.fastq.gz,fastq/SRR22258893_2.fastq.gz,auto
SRR22258894,fastq/SRR22258894_1.fastq.gz,fastq/SRR22258894_2.fastq.gz,auto
SRR22258895,fastq/SRR22258895_1.fastq.gz,fastq/SRR22258895_2.fastq.gz,auto
SRR22258896,fastq/SRR22258896_1.fastq.gz,fastq/SRR22258896_2.fastq.gz,auto
SRR22258897,fastq/SRR22258897_1.fastq.gz,fastq/SRR22258897_2.fastq.gz,auto
SRR22258898,fastq/SRR22258898_1.fastq.gz,fastq/SRR22258898_2.fastq.gz,auto
SRR22258899,fastq/SRR22258899_1.fastq.gz,fastq/SRR22258899_2.fastq.gz,auto
SRR22258900,fastq/SRR22258900_1.fastq.gz,fastq/SRR22258900_2.fastq.gz,auto
SRR22258901,fastq/SRR22258901_1.fastq.gz,fastq/SRR22258901_2.fastq.gz,auto
SRR22258902,fastq/SRR22258902_1.fastq.gz,fastq/SRR22258902_2.fastq.gz,auto
SRR22258903,fastq/SRR22258903_1.fastq.gz,fastq/SRR22258903_2.fastq.gz,auto
SRR22258904,fastq/SRR22258904_1.fastq.gz,fastq/SRR22258904_2.fastq.gz,auto
SRR22258905,fastq/SRR22258905_1.fastq.gz,fastq/SRR22258905_2.fastq.gz,auto
SRR22258906,fastq/SRR22258906_1.fastq.gz,fastq/SRR22258906_2.fastq.gz,auto
SRR22258907,fastq/SRR22258907_1.fastq.gz,fastq/SRR22258907_2.fastq.gz,auto
SRR22258908,fastq/SRR22258908_1.fastq.gz,fastq/SRR22258908_2.fastq.gz,auto
SRR22258909,fastq/SRR22258909_1.fastq.gz,fastq/SRR22258909_2.fastq.gz,auto
SRR22258910,fastq/SRR22258910_1.fastq.gz,fastq/SRR22258910_2.fastq.gz,auto
SRR22258911,fastq/SRR22258911_1.fastq.gz,fastq/SRR22258911_2.fastq.gz,auto
SRR22258912,fastq/SRR22258912_1.fastq.gz,fastq/SRR22258912_2.fastq.gz,auto
SRR22258913,fastq/SRR22258913_1.fastq.gz,fastq/SRR22258913_2.fastq.gz,auto
SRR22258914,fastq/SRR22258914_1.fastq.gz,fastq/SRR22258914_2.fastq.gz,auto
SRR22258915,fastq/SRR22258915_1.fastq.gz,fastq/SRR22258915_2.fastq.gz,auto
SRR22258916,fastq/SRR22258916_1.fastq.gz,fastq/SRR22258916_2.fastq.gz,auto
SRR22258917,fastq/SRR22258917_1.fastq.gz,fastq/SRR22258917_2.fastq.gz,auto
SRR22258918,fastq/SRR22258918_1.fastq.gz,fastq/SRR22258918_2.fastq.gz,auto
SRR22258919,fastq/SRR22258919_1.fastq.gz,fastq/SRR22258919_2.fastq.gz,auto
SRR22258920,fastq/SRR22258920_1.fastq.gz,fastq/SRR22258920_2.fastq.gz,auto
SRR22258921,fastq/SRR22258921_1.fastq.gz,fastq/SRR22258921_2.fastq.gz,auto
SRR22258922,fastq/SRR22258922_1.fastq.gz,fastq/SRR22258922_2.fastq.gz,auto
SRR22258923,fastq/SRR22258923_1.fastq.gz,fastq/SRR22258923_2.fastq.gz,auto
SRR22258924,fastq/SRR22258924_1.fastq.gz,fastq/SRR22258924_2.fastq.gz,auto
SRR22258925,fastq/SRR22258925_1.fastq.gz,fastq/SRR22258925_2.fastq.gz,auto
