sample,fastq_1,fastq_2,strandedness
SRR14858393,fastq/SRR14858393_1.fastq.gz,fastq/SRR14858393_2.fastq.gz,auto
SRR14858394,fastq/SRR14858394_1.fastq.gz,fastq/SRR14858394_2.fastq.gz,auto
SRR14858395,fastq/SRR14858395_1.fastq.gz,fastq/SRR14858395_2.fastq.gz,auto
SRR14858396,fastq/SRR14858396_1.fastq.gz,fastq/SRR14858396_2.fastq.gz,auto
SRR14858397,fastq/SRR14858397_1.fastq.gz,fastq/SRR14858397_2.fastq.gz,auto
SRR14858398,fastq/SRR14858398_1.fastq.gz,fastq/SRR14858398_2.fastq.gz,auto
SRR14858399,fastq/SRR14858399_1.fastq.gz,fastq/SRR14858399_2.fastq.gz,auto
SRR14858400,fastq/SRR14858400_1.fastq.gz,fastq/SRR14858400_2.fastq.gz,auto
SRR14858401,fastq/SRR14858401_1.fastq.gz,fastq/SRR14858401_2.fastq.gz,auto
SRR14858402,fastq/SRR14858402_1.fastq.gz,fastq/SRR14858402_2.fastq.gz,auto
SRR14858403,fastq/SRR14858403_1.fastq.gz,fastq/SRR14858403_2.fastq.gz,auto
SRR14858404,fastq/SRR14858404_1.fastq.gz,fastq/SRR14858404_2.fastq.gz,auto
SRR14858405,fastq/SRR14858405_1.fastq.gz,fastq/SRR14858405_2.fastq.gz,auto
SRR14858406,fastq/SRR14858406_1.fastq.gz,fastq/SRR14858406_2.fastq.gz,auto
SRR14858407,fastq/SRR14858407_1.fastq.gz,fastq/SRR14858407_2.fastq.gz,auto
SRR14858408,fastq/SRR14858408_1.fastq.gz,fastq/SRR14858408_2.fastq.gz,auto
SRR14858409,fastq/SRR14858409_1.fastq.gz,fastq/SRR14858409_2.fastq.gz,auto
SRR14858410,fastq/SRR14858410_1.fastq.gz,fastq/SRR14858410_2.fastq.gz,auto
SRR14858411,fastq/SRR14858411_1.fastq.gz,fastq/SRR14858411_2.fastq.gz,auto
SRR14858412,fastq/SRR14858412_1.fastq.gz,fastq/SRR14858412_2.fastq.gz,auto
SRR14858413,fastq/SRR14858413_1.fastq.gz,fastq/SRR14858413_2.fastq.gz,auto
SRR14858414,fastq/SRR14858414_1.fastq.gz,fastq/SRR14858414_2.fastq.gz,auto
SRR14858415,fastq/SRR14858415_1.fastq.gz,fastq/SRR14858415_2.fastq.gz,auto
SRR14858416,fastq/SRR14858416_1.fastq.gz,fastq/SRR14858416_2.fastq.gz,auto
SRR14858417,fastq/SRR14858417_1.fastq.gz,fastq/SRR14858417_2.fastq.gz,auto
SRR14858418,fastq/SRR14858418_1.fastq.gz,fastq/SRR14858418_2.fastq.gz,auto
SRR14858419,fastq/SRR14858419_1.fastq.gz,fastq/SRR14858419_2.fastq.gz,auto
SRR14858420,fastq/SRR14858420_1.fastq.gz,fastq/SRR14858420_2.fastq.gz,auto
SRR14858421,fastq/SRR14858421_1.fastq.gz,fastq/SRR14858421_2.fastq.gz,auto
SRR14858422,fastq/SRR14858422_1.fastq.gz,fastq/SRR14858422_2.fastq.gz,auto
SRR14858423,fastq/SRR14858423_1.fastq.gz,fastq/SRR14858423_2.fastq.gz,auto
SRR14858424,fastq/SRR14858424_1.fastq.gz,fastq/SRR14858424_2.fastq.gz,auto
SRR14858425,fastq/SRR14858425_1.fastq.gz,fastq/SRR14858425_2.fastq.gz,auto
SRR14858426,fastq/SRR14858426_1.fastq.gz,fastq/SRR14858426_2.fastq.gz,auto
SRR14858427,fastq/SRR14858427_1.fastq.gz,fastq/SRR14858427_2.fastq.gz,auto
SRR14858428,fastq/SRR14858428_1.fastq.gz,fastq/SRR14858428_2.fastq.gz,auto
SRR14858429,fastq/SRR14858429_1.fastq.gz,fastq/SRR14858429_2.fastq.gz,auto
SRR14858430,fastq/SRR14858430_1.fastq.gz,fastq/SRR14858430_2.fastq.gz,auto
SRR14858431,fastq/SRR14858431_1.fastq.gz,fastq/SRR14858431_2.fastq.gz,auto
SRR14858432,fastq/SRR14858432_1.fastq.gz,fastq/SRR14858432_2.fastq.gz,auto
SRR14858433,fastq/SRR14858433_1.fastq.gz,fastq/SRR14858433_2.fastq.gz,auto
SRR14858434,fastq/SRR14858434_1.fastq.gz,fastq/SRR14858434_2.fastq.gz,auto
SRR14858435,fastq/SRR14858435_1.fastq.gz,fastq/SRR14858435_2.fastq.gz,auto
SRR14858436,fastq/SRR14858436_1.fastq.gz,fastq/SRR14858436_2.fastq.gz,auto
SRR14858437,fastq/SRR14858437_1.fastq.gz,fastq/SRR14858437_2.fastq.gz,auto
SRR14858438,fastq/SRR14858438_1.fastq.gz,fastq/SRR14858438_2.fastq.gz,auto
SRR14858439,fastq/SRR14858439_1.fastq.gz,fastq/SRR14858439_2.fastq.gz,auto
SRR14858440,fastq/SRR14858440_1.fastq.gz,fastq/SRR14858440_2.fastq.gz,auto
SRR14858441,fastq/SRR14858441_1.fastq.gz,fastq/SRR14858441_2.fastq.gz,auto
SRR14858442,fastq/SRR14858442_1.fastq.gz,fastq/SRR14858442_2.fastq.gz,auto
SRR14858443,fastq/SRR14858443_1.fastq.gz,fastq/SRR14858443_2.fastq.gz,auto
SRR14858444,fastq/SRR14858444_1.fastq.gz,fastq/SRR14858444_2.fastq.gz,auto
SRR14858445,fastq/SRR14858445_1.fastq.gz,fastq/SRR14858445_2.fastq.gz,auto
SRR14858446,fastq/SRR14858446_1.fastq.gz,fastq/SRR14858446_2.fastq.gz,auto
SRR14858447,fastq/SRR14858447_1.fastq.gz,fastq/SRR14858447_2.fastq.gz,auto
SRR14858448,fastq/SRR14858448_1.fastq.gz,fastq/SRR14858448_2.fastq.gz,auto
SRR14858449,fastq/SRR14858449_1.fastq.gz,fastq/SRR14858449_2.fastq.gz,auto
SRR14858450,fastq/SRR14858450_1.fastq.gz,fastq/SRR14858450_2.fastq.gz,auto
SRR14858451,fastq/SRR14858451_1.fastq.gz,fastq/SRR14858451_2.fastq.gz,auto
SRR14858452,fastq/SRR14858452_1.fastq.gz,fastq/SRR14858452_2.fastq.gz,auto
SRR14858453,fastq/SRR14858453_1.fastq.gz,fastq/SRR14858453_2.fastq.gz,auto
SRR14858454,fastq/SRR14858454_1.fastq.gz,fastq/SRR14858454_2.fastq.gz,auto
SRR14858455,fastq/SRR14858455_1.fastq.gz,fastq/SRR14858455_2.fastq.gz,auto
SRR14858456,fastq/SRR14858456_1.fastq.gz,fastq/SRR14858456_2.fastq.gz,auto
SRR14858457,fastq/SRR14858457_1.fastq.gz,fastq/SRR14858457_2.fastq.gz,auto
SRR14858458,fastq/SRR14858458_1.fastq.gz,fastq/SRR14858458_2.fastq.gz,auto
SRR14858459,fastq/SRR14858459_1.fastq.gz,fastq/SRR14858459_2.fastq.gz,auto
SRR14858460,fastq/SRR14858460_1.fastq.gz,fastq/SRR14858460_2.fastq.gz,auto
SRR14858461,fastq/SRR14858461_1.fastq.gz,fastq/SRR14858461_2.fastq.gz,auto
SRR14858462,fastq/SRR14858462_1.fastq.gz,fastq/SRR14858462_2.fastq.gz,auto
SRR14858463,fastq/SRR14858463_1.fastq.gz,fastq/SRR14858463_2.fastq.gz,auto
SRR14858464,fastq/SRR14858464_1.fastq.gz,fastq/SRR14858464_2.fastq.gz,auto
SRR14858465,fastq/SRR14858465_1.fastq.gz,fastq/SRR14858465_2.fastq.gz,auto
SRR14858466,fastq/SRR14858466_1.fastq.gz,fastq/SRR14858466_2.fastq.gz,auto
SRR14858467,fastq/SRR14858467_1.fastq.gz,fastq/SRR14858467_2.fastq.gz,auto
SRR14858468,fastq/SRR14858468_1.fastq.gz,fastq/SRR14858468_2.fastq.gz,auto
SRR14858469,fastq/SRR14858469_1.fastq.gz,fastq/SRR14858469_2.fastq.gz,auto
SRR14858470,fastq/SRR14858470_1.fastq.gz,fastq/SRR14858470_2.fastq.gz,auto
SRR14858471,fastq/SRR14858471_1.fastq.gz,fastq/SRR14858471_2.fastq.gz,auto
SRR14858472,fastq/SRR14858472_1.fastq.gz,fastq/SRR14858472_2.fastq.gz,auto
SRR14858473,fastq/SRR14858473_1.fastq.gz,fastq/SRR14858473_2.fastq.gz,auto
SRR14858474,fastq/SRR14858474_1.fastq.gz,fastq/SRR14858474_2.fastq.gz,auto
SRR14858475,fastq/SRR14858475_1.fastq.gz,fastq/SRR14858475_2.fastq.gz,auto
SRR14858476,fastq/SRR14858476_1.fastq.gz,fastq/SRR14858476_2.fastq.gz,auto
SRR14858477,fastq/SRR14858477_1.fastq.gz,fastq/SRR14858477_2.fastq.gz,auto
SRR14858478,fastq/SRR14858478_1.fastq.gz,fastq/SRR14858478_2.fastq.gz,auto
SRR14858479,fastq/SRR14858479_1.fastq.gz,fastq/SRR14858479_2.fastq.gz,auto
SRR14858480,fastq/SRR14858480_1.fastq.gz,fastq/SRR14858480_2.fastq.gz,auto
SRR14858481,fastq/SRR14858481_1.fastq.gz,fastq/SRR14858481_2.fastq.gz,auto
SRR14858482,fastq/SRR14858482_1.fastq.gz,fastq/SRR14858482_2.fastq.gz,auto
SRR14858483,fastq/SRR14858483_1.fastq.gz,fastq/SRR14858483_2.fastq.gz,auto
SRR14858484,fastq/SRR14858484_1.fastq.gz,fastq/SRR14858484_2.fastq.gz,auto
SRR14858485,fastq/SRR14858485_1.fastq.gz,fastq/SRR14858485_2.fastq.gz,auto
SRR14858486,fastq/SRR14858486_1.fastq.gz,fastq/SRR14858486_2.fastq.gz,auto
SRR14858487,fastq/SRR14858487_1.fastq.gz,fastq/SRR14858487_2.fastq.gz,auto
SRR14858488,fastq/SRR14858488_1.fastq.gz,fastq/SRR14858488_2.fastq.gz,auto
SRR14858489,fastq/SRR14858489_1.fastq.gz,fastq/SRR14858489_2.fastq.gz,auto
SRR14858490,fastq/SRR14858490_1.fastq.gz,fastq/SRR14858490_2.fastq.gz,auto
SRR14858491,fastq/SRR14858491_1.fastq.gz,fastq/SRR14858491_2.fastq.gz,auto
SRR14858492,fastq/SRR14858492_1.fastq.gz,fastq/SRR14858492_2.fastq.gz,auto
SRR14858493,fastq/SRR14858493_1.fastq.gz,fastq/SRR14858493_2.fastq.gz,auto
SRR14858494,fastq/SRR14858494_1.fastq.gz,fastq/SRR14858494_2.fastq.gz,auto
SRR14858495,fastq/SRR14858495_1.fastq.gz,fastq/SRR14858495_2.fastq.gz,auto
SRR14858496,fastq/SRR14858496_1.fastq.gz,fastq/SRR14858496_2.fastq.gz,auto
